Atoms,CSP3,Carbon,FormalCharge,Formula,HBA,HBD,HeavyAtoms,Heteroatoms,MR,MW,NAME,NHOH,NO,Rings,RotBonds,TPSA,WlogP
80,0.48,33,0,C33H37N5O5,6,3,43,10,157.37,583.28,DB00320,3,10,8,4,118.21,2.08
99,0.5,38,0,C38H50N6O5,7,5,49,11,188.21,670.38,DB01232,6,11,5,12,166.75,3.09
106,0.49,35,0,C35H44I6N6O15,15,13,62,27,272.95,1549.71,DB01249,13,21,2,22,339.09,-1.59
131,0.51,47,0,C47H72NO10P,9,3,59,12,239.42,841.49,DB14096,4,11,0,37,181.49,11.22
84,0.43,30,0,C30H34ClN7O10S2,14,6,50,20,179.0,751.15,DB14879,7,17,5,13,310.44,-0.18
103,0.43,37,0,C37H49N7O9S,9,8,54,17,203.17,767.33,DB00183,9,16,3,20,276.21,1.52
83,0.59,32,0,C32H40BrN5O5,6,3,43,11,164.16,653.22,DB01200,3,10,7,5,118.21,3.19
30,0.0,0,0,H9AlMgO15Si4,1,0,21,21,57.78,411.87,DB01574,9,15,0,0,441.0,-6.95
67,0.73,26,0,C26H32F2O7,7,1,35,9,118.42,494.21,DB01047,1,7,5,3,99.13,2.94
90,0.51,35,0,C35H42N2O11,12,1,48,13,171.79,666.28,DB19379,1,13,6,9,144.08,4.7
81,0.52,29,0,C29H38N4O10,12,9,43,14,150.82,602.26,DB00256,10,14,4,10,242.98,-0.45
88,0.49,35,0,C35H42N2O9,10,1,46,11,170.4,634.29,DB01180,1,11,6,9,117.78,4.57
83,0.78,32,0,C32H44O7,7,1,39,7,143.24,540.31,DB01410,1,7,6,5,99.13,4.7
40,0.5,12,0,C12H8BiK5O14,14,0,32,20,59.73,779.79,DB09275,0,14,0,10,286.9,-27.13
112,0.69,35,0,C35H54GdN7O15,19,9,58,23,189.02,970.29,DB17084,9,22,2,24,351.68,-8.89
71,0.75,28,0,C28H34F2O7,7,1,37,9,125.47,520.23,DB18738,1,7,6,4,99.13,3.33
57,0.86,14,0,C14H26CaO16,16,12,31,17,90.01,490.08,DB00326,12,16,0,12,323.02,-11.31
80,0.96,26,0,C26H45NO7S,6,5,35,9,131.83,515.29,DB04348,5,8,4,7,152.54,2.37
68,1.0,18,0,C18H37N5O8,13,9,31,13,106.98,451.26,DB13270,14,13,3,6,247.94,-5.27
109,0.57,40,0,C40H57N5O7,8,4,52,12,198.16,719.43,DB08889,4,12,4,20,158.47,2.58
82,0.65,31,0,C31H41N5O5,6,3,41,10,151.22,563.31,DB11273,3,10,7,4,118.21,2.13
81,0.9,30,0,C30H48O3,2,2,33,3,132.61,456.36,DB12480,2,3,5,2,57.53,7.09
80,0.86,28,0,C28H45NO5S,7,3,35,7,138.72,507.3,DB12825,4,6,4,5,135.15,3.87
70,0.13,30,0,C30H21I7N2Na2O8,10,4,49,19,231.64,1471.44,DB01583,6,10,4,10,191.22,-0.15
79,0.96,26,0,C26H45NO6S,5,4,34,8,130.44,499.3,DB08834,4,7,4,7,132.31,3.4
70,0.56,25,0,C25H30N4O9S2,11,2,40,15,140.48,594.15,DB12127,3,13,5,7,216.16,-0.59
65,0.59,27,0,C27H30Cl2O6,6,1,35,8,130.23,520.14,DB14512,1,6,5,4,93.81,4.87
84,0.52,33,0,C33H40N2O9,10,1,44,11,160.69,608.27,DB00206,1,11,6,8,117.78,4.17
53,1.0,10,0,C10H18O21S4,17,6,35,25,98.27,601.92,DB00686,6,21,2,10,356.07,-4.81
78,0.42,33,0,C33H35N5O5,6,3,43,10,157.99,581.26,DB00696,3,10,8,4,118.21,1.99
73,1.0,20,0,C20H41N5O7,12,8,32,12,115.34,463.3,DB13274,11,12,3,7,199.73,-3.72
73,0.42,26,0,C26H26N8O11S2,16,4,47,21,158.89,690.12,DB14733,5,19,6,8,317.84,-0.54
71,0.75,28,0,C28H35FO7,7,1,36,8,125.27,502.24,DB00288,1,7,6,3,99.13,3.52
93,0.41,37,0,C37H42F2N8O4,12,1,51,14,187.31,700.33,DB01263,1,12,7,12,115.7,4.57
84,0.76,33,0,C33H44F2N2O3,4,1,40,7,147.96,554.33,DB12513,1,5,5,2,87.03,6.73
101,0.33,43,0,C43H47N2NaO6S2,7,0,54,11,214.19,774.28,DB16024,0,8,6,14,137.41,5.37
70,0.74,27,0,C27H34F2O7,7,1,36,9,123.04,508.23,DB18737,1,7,5,4,99.13,3.33
98,0.45,40,0,C40H56O2,2,2,42,2,184.1,568.43,DB00137,2,2,2,10,40.46,10.4
103,0.45,38,0,C38H52N6O7,9,5,51,13,193.88,704.39,DB01072,5,13,3,14,171.22,4.21
80,0.5,32,0,C32H38N2O8,9,1,42,10,154.14,578.26,DB01089,1,10,6,7,108.55,4.16
66,0.59,27,0,C27H29F3O6S,7,1,37,10,128.61,538.16,DB08906,1,6,5,4,119.11,4.93
98,0.4,40,0,C40H48I2N2O6,6,0,50,10,186.37,906.16,DB00416,0,8,8,4,55.38,1.46
69,0.71,17,0,C17H25Cl2F3N5O12P3S2,15,7,44,27,152.68,774.95,DB06441,7,17,3,15,335.94,2.85
102,0.82,33,0,C33H57N3O9,9,0,45,12,168.34,639.41,DB08965,0,12,1,6,139.83,3.15
98,0.57,40,0,C40H52N2O4,5,2,46,6,181.8,624.39,DB13947,2,6,6,10,87.99,8.24
80,0.39,31,0,C31H36N2O11,11,5,44,13,158.92,612.23,DB01051,6,13,4,8,200.01,3.63
